club,name,NAME_KEY,SCORE
Breeze,AariMcDonald,AARIMCDONALD,109.72
Breeze,KateMartin,KATEMARTIN,143.17000000000002
Breeze,CameronBrink,CAMERONBRINK,50.95000000000001
Breeze,DominiqueMalonga,DOMINIQUEMALONGA,174.55
Breeze,RickeaJackson,RICKEAJACKSON,301.12
Breeze,PaigeBueckers,PAIGEBUECKERS,389.88000000000005
Hive,MoniqueBillings,MONIQUEBILLINGS,104.94
Hive,SaniyaRivers,SANIYARIVERS,212.18
Hive,NatishaHiedeman,NATISHAHIEDEMAN,222.92
Hive,EziMagbegor,EZIMAGBEGOR,197.61
Hive,SoniaCitron,SONIACITRON,362.27
Hive,KelseyMitchell,KELSEYMITCHELL,491.54
Laces,JackieYoung,JACKIEYOUNG,406.05000000000007
Laces,AlyssaThomas,ALYSSATHOMAS,336.64000000000004
Laces,NazHillmon,NAZHILLMON,209.87000000000003
Laces,MaddySiegrist,MADDYSIEGRIST,184.21000000000004
Laces,JordinCanada,JORDINCANADA,180.05
Laces,BrittneySykes,BRITTNEYSYKES,303.17
Lunar Owls,NapheesaCollier,NAPHEESACOLLIER,419.78
Lunar Owls,AaliyahEdwards,AALIYAHEDWARDS,105.38
Lunar Owls,RebeccaAllen,REBECCAALLEN,124.64
Lunar Owls,SkylarDiggins,SKYLARDIGGINS,374.81
Lunar Owls,MarinaMabrey,MARINAMABREY,271.89000000000004
Lunar Owls,RachelBanham,RACHELBANHAM,216.69
Mist,BreannaStewart,BREANNASTEWART,315.14
Mist,ArikeOgunbowale,ARIKEOGUNBOWALE,251.28000000000003
Mist,VeronicaBurton,VERONICABURTON,296.08
Mist,AlannaSmith,ALANNASMITH,228.65000000000003
Mist,LiYueru,LIYUERU,100.88
Mist,AllishaGray,ALLISHAGRAY,429.08
Phantom,SatouSabally,SATOUSABALLY,351.61999999999995
Phantom,NatashaCloud,NATASHACLOUD,235.17
Phantom,DanaEvans,DANAEVANS,161.93000000000004
Phantom,AliyahBoston,ALIYAHBOSTON,368.0100000000001
Phantom,KikiIriafen,KIKIIRIAFEN,313.09000000000003
Phantom,KelseyPlum,KELSEYPLUM,461.8800000000001
Phantom,TiffanyHayes,TIFFANYHAYES,164.76000000000002
Rose,ShakiraAustin,SHAKIRAAUSTIN,260.40999999999997
Rose,LexieHull,LEXIEHULL,182.14
Rose,SugSutton,SUGSUTTON,174.97000000000003
Rose,AzuráStevens,AZURSTEVENS,313.61
Rose,ChelseaGray,CHELSEAGRAY,274.24
Rose,KahleahCopper,KAHLEAHCOPPER,238.49
Vinyl,BrittneyGriner,BRITTNEYGRINER,202.23
Vinyl,RaeBurrell,RAEBURRELL,116.77
Vinyl,EricaWheeler,ERICAWHEELER,257.53000000000003
Vinyl,DearicaHamby,DEARICAHAMBY,447.37
Vinyl,RhyneHoward,RHYNEHOWARD,326.32000000000005
Vinyl,CourtneyWilliams,COURTNEYWILLIAMS,336.9200000000001
