PLAYER,PTS,STL,AST,TOV,SCORE,NAME_KEY
A'ja Wilson,23.4,1.6,3.1,2.2,12.981,AJAWILSON
Napheesa Collier,22.9,1.6,3.2,2.1,12.729000000000001,NAPHEESACOLLIER
Kelsey Mitchell,20.2,0.9,3.4,1.8,11.154000000000002,KELSEYMITCHELL
Kelsey Plum,19.5,1.2,5.7,3.0,10.734000000000002,KELSEYPLUM
Paige Bueckers,19.2,1.6,5.4,2.0,10.822000000000001,PAIGEBUECKERS
Dearica Hamby,18.4,1.6,3.3,2.7,10.150999999999998,DEARICAHAMBY
Allisha Gray,18.4,1.1,3.5,1.8,10.213000000000001,ALLISHAGRAY
Breanna Stewart,18.3,1.4,3.5,1.9,10.206000000000001,BREANNASTEWART
Nneka Ogwumike,18.3,1.1,2.3,1.9,10.080000000000002,NNEKAOGWUMIKE
Sabrina Ionescu,18.2,1.3,5.7,2.6,10.113,SABRINAIONESCU
Rhyne Howard,17.5,1.5,4.6,1.7,9.879000000000001,RHYNEHOWARD
Jackie Young,16.5,1.3,5.1,2.2,9.22,JACKIEYOUNG
Satou Sabally,16.3,1.3,2.5,2.0,9.016000000000002,SATOUSABALLY
Tina Charles,16.3,0.8,1.7,1.9,8.884000000000002,TINACHARLES
Skylar Diggins,15.5,1.2,6.0,2.1,8.711,SKYLARDIGGINS
Alyssa Thomas,15.4,1.6,9.2,3.5,8.652,ALYSSATHOMAS
Aliyah Boston,15.0,1.2,3.7,1.8,8.375,ALIYAHBOSTON
Sonia Citron,14.9,1.3,2.4,2.1,8.222999999999999,SONIACITRON
Rickea Jackson,14.7,0.6,1.7,2.1,7.924000000000001,RICKEAJACKSON
Marina Mabrey,14.4,0.7,4.0,2.8,7.770000000000001,MARINAMABREY
Kayla McBride,14.2,1.3,3.5,1.7,7.965000000000001,KAYLAMCBRIDE
Brittney Sykes,14.1,1.2,4.0,2.5,7.768999999999999,BRITTNEYSYKES
Jonquel Jones,13.6,0.5,2.7,2.1,7.347,JONQUELJONES
Courtney Williams,13.6,1.3,6.2,2.3,7.662000000000001,COURTNEYWILLIAMS
Kamilla Cardoso,13.6,0.4,2.5,2.4,7.261,KAMILLACARDOSO
Kiki Iriafen,13.3,0.6,1.6,2.2,7.131000000000001,KIKIIRIAFEN
Ariel Atkins,13.1,1.6,3.6,2.5,7.287,ARIELATKINS
Brionna Jones,12.8,1.1,2.2,1.5,7.122000000000002,BRIONNAJONES
Azurá Stevens,12.8,1.2,2.1,1.5,7.139000000000001,AZURSTEVENS
Shakira Austin,12.7,1.1,1.8,2.4,6.885,SHAKIRAAUSTIN
Veronica Burton,11.9,1.1,6.0,2.1,6.7090000000000005,VERONICABURTON
Gabby Williams,11.6,2.3,4.2,1.9,6.7540000000000004,GABBYWILLIAMS
Natasha Howard,11.4,1.2,1.5,1.9,6.267000000000001,NATASHAHOWARD
Janelle Salaün,11.3,0.6,1.2,1.5,6.1370000000000005,JANELLESALAN
