PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628932,1,A'ja Wilson,1611661319,LVA,40,31.2,8.3,16.5,0.505,0.6,1.5,0.424,6.2,7.3,0.855,2.3,7.9,10.2,3.1,1.6,2.3,2.2,23.4,29.2
1629483,2,Napheesa Collier,1611661324,MIN,33,32.3,8.3,15.7,0.531,1.5,3.8,0.403,4.7,5.2,0.906,1.9,5.4,7.3,3.2,1.6,1.5,2.1,22.9,26.5
1628909,3,Kelsey Mitchell,1611661325,IND,44,31.4,7.2,15.7,0.456,2.5,6.4,0.394,3.4,4.3,0.784,0.4,1.3,1.8,3.4,0.9,0.2,1.8,20.2,15.2
1628276,4,Kelsey Plum,1611661320,LAS,43,35.1,6.1,14.4,0.422,2.3,6.5,0.355,5.1,5.7,0.893,0.2,2.8,3.1,5.7,1.2,0.1,3.0,19.5,17.7
1642784,5,Paige Bueckers,1611661321,DAL,36,33.3,7.2,15.1,0.477,1.1,3.3,0.331,3.8,4.2,0.888,0.7,3.3,3.9,5.4,1.6,0.5,2.0,19.2,20.3
204324,6,Dearica Hamby,1611661320,LAS,44,31.2,7.4,12.9,0.572,0.3,1.2,0.278,3.4,5.4,0.627,2.6,5.4,7.9,3.3,1.6,0.5,2.7,18.4,21.5
1628277,7,Allisha Gray,1611661330,ATL,42,34.5,5.9,13.0,0.451,2.3,6.1,0.384,4.4,5.5,0.799,0.9,4.5,5.3,3.5,1.1,0.4,1.8,18.4,18.6
1627668,8,Breanna Stewart,1611661313,NYL,31,30.6,6.1,13.2,0.461,0.7,2.8,0.241,5.5,6.5,0.837,1.0,5.5,6.5,3.5,1.4,1.4,1.9,18.3,20.9
203014,9,Nneka Ogwumike,1611661328,SEA,44,30.9,7.3,14.0,0.519,1.5,4.1,0.367,2.2,2.7,0.822,1.3,5.7,7.0,2.3,1.1,0.4,1.9,18.3,19.9
1629477,10,Sabrina Ionescu,1611661313,NYL,38,31.4,6.1,15.1,0.401,2.1,7.1,0.299,4.0,4.3,0.933,0.8,4.1,4.9,5.7,1.3,0.4,2.6,18.2,18.5
1631009,11,Rhyne Howard,1611661330,ATL,33,34.9,5.7,15.1,0.375,3.1,9.6,0.322,3.1,3.6,0.856,0.9,3.5,4.5,4.6,1.5,0.8,1.7,17.5,17.3
1629498,12,Jackie Young,1611661319,LVA,44,30.4,5.9,12.4,0.475,1.8,5.1,0.359,2.9,3.2,0.894,1.2,3.3,4.5,5.1,1.3,0.4,2.2,16.5,18.7
1630149,13,Satou Sabally,1611661317,PHX,39,26.6,5.3,13.2,0.404,1.7,5.4,0.321,3.9,4.7,0.827,1.4,4.5,5.9,2.5,1.3,0.3,2.0,16.3,15.7
202250,14,Tina Charles,1611661323,CON,43,28.4,6.0,13.8,0.438,0.3,1.1,0.261,3.9,4.6,0.857,1.4,4.3,5.8,1.7,0.8,0.4,1.9,16.3,14.7
203400,15,Skylar Diggins,1611661328,SEA,43,31.2,5.3,12.5,0.423,1.4,4.0,0.365,3.5,4.4,0.788,0.6,1.9,2.5,6.0,1.2,0.8,2.1,15.5,15.8
203826,16,Alyssa Thomas,1611661317,PHX,39,31.3,6.2,11.6,0.532,0.0,0.2,0.0,3.0,4.3,0.692,1.6,7.2,8.8,9.2,1.6,0.4,3.5,15.4,25.1
1641648,17,Aliyah Boston,1611661325,IND,44,30.2,6.2,11.5,0.538,0.1,0.7,0.207,2.5,3.3,0.762,2.4,5.8,8.2,3.7,1.2,0.9,1.8,15.0,21.1
1642785,18,Sonia Citron,1611661322,WAS,44,32.2,5.1,10.8,0.47,1.8,4.1,0.445,3.0,3.4,0.872,0.7,3.3,4.0,2.4,1.3,0.4,2.1,14.9,14.7
1642288,19,Rickea Jackson,1611661320,LAS,38,30.9,5.4,12.7,0.424,1.7,4.9,0.348,2.2,2.6,0.847,1.0,2.2,3.2,1.7,0.6,0.4,2.1,14.7,10.8
1629497,20,Marina Mabrey,1611661323,CON,35,31.5,5.1,13.9,0.367,1.9,7.0,0.27,2.3,2.6,0.87,0.5,3.7,4.2,4.0,0.7,0.3,2.8,14.4,11.6
203825,21,Kayla McBride,1611661324,MIN,39,31.3,4.6,11.0,0.416,2.6,6.7,0.395,2.4,2.7,0.905,0.3,2.0,2.3,3.5,1.3,0.1,1.7,14.2,12.9
1628279,22,Brittney Sykes,1611661328,SEA,39,30.6,4.5,11.7,0.381,0.8,2.6,0.304,4.4,5.6,0.781,0.5,2.6,3.2,4.0,1.2,0.4,2.5,14.1,11.8
1627673,23,Jonquel Jones,1611661313,NYL,31,26.8,4.8,9.9,0.49,1.7,4.0,0.424,2.3,2.9,0.769,1.5,6.6,8.1,2.7,0.5,1.1,2.1,13.6,18.2
1627675,24,Courtney Williams,1611661324,MIN,44,28.6,5.6,13.2,0.428,1.3,3.4,0.389,1.0,1.2,0.849,0.5,4.4,4.9,6.2,1.3,0.3,2.3,13.6,16.2
1642289,25,Kamilla Cardoso,1611661329,CHI,40,27.6,5.6,10.6,0.528,0.0,0.1,0.5,2.4,3.3,0.722,3.0,5.6,8.5,2.5,0.4,1.2,2.4,13.6,17.8
1642792,26,Kiki Iriafen,1611661322,WAS,44,26.9,5.0,10.3,0.488,0.0,0.3,0.182,3.1,4.0,0.784,2.6,6.0,8.5,1.6,0.6,0.2,2.2,13.3,15.8
1628878,27,Ariel Atkins,1611661329,CHI,34,28.5,4.8,10.7,0.444,1.3,3.5,0.361,2.4,2.7,0.86,0.7,2.7,3.4,3.6,1.6,0.7,2.5,13.1,13.5
1628280,28,Brionna Jones,1611661330,ATL,44,26.6,5.1,9.7,0.527,0.3,1.0,0.261,2.3,3.0,0.773,3.1,4.2,7.3,2.2,1.1,0.8,1.5,12.8,17.4
1628922,29,Azurá Stevens,1611661320,LAS,44,28.4,4.6,9.7,0.478,1.7,4.4,0.381,1.8,2.3,0.79,1.7,6.3,8.0,2.1,1.2,1.1,1.5,12.8,18.2
1631022,30,Shakira Austin,1611661322,WAS,38,23.0,5.0,10.8,0.465,0.1,0.4,0.133,2.6,3.8,0.664,1.5,4.9,6.4,1.8,1.1,1.1,2.4,12.7,13.5
1631007,31,Veronica Burton,1611661331,GSV,44,29.4,3.4,8.8,0.387,1.4,4.0,0.345,3.8,4.3,0.878,1.1,3.2,4.4,6.0,1.1,0.6,2.1,11.9,16.0
1628931,32,Gabby Williams,1611661328,SEA,44,31.6,4.5,10.7,0.422,1.1,3.7,0.305,1.5,1.7,0.853,0.5,3.8,4.3,4.2,2.3,0.5,1.9,11.6,14.5
203827,33,Natasha Howard,1611661325,IND,44,24.1,4.5,8.2,0.552,0.1,0.8,0.182,2.1,3.0,0.712,2.0,4.6,6.6,1.5,1.2,0.6,1.9,11.4,14.7
